id,SMILES,FFV,smiles_len,count_star,count_C,count_O,count_N,count_equal,split,MolWt,NumValenceElectrons,TPSA
87817,*CC(*)c1ccccc1C(=O)OCCCCCC,0.37464529,26,2,9,2,0,1,train,232.3229999999999,92,26.3
106919,*Nc1ccc([C@H](CCC)c2ccc(C3(c4ccc([C@@H](CCC)c5ccc(N*)cc5)cc4)CCC(CCCCC)CC3)cc2)cc1,0.3704102,82,2,19,0,2,0,train,598.9190000000003,236,24.06
388772,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(S(=O)(=O)c7ccc(Oc8ccc(C=C9CCCC(=Cc%10ccc(*)cc%10)C9=O)cc8)cc7)cc6)cc5)CCCCC4)cc3)cc2)cc1,0.37885964,134,2,14,9,0,7,train,1003.2069999999997,364,122.27000000000001
519416,*Nc1ccc(-c2c(-c3ccc(C)cc3)c(-c3ccc(C)cc3)c(N*)c(-c3ccc(C)cc3)c2-c2ccc(C)cc2)cc1,0.3873239,79,2,4,0,2,0,train,542.7260000000002,204,24.06
539187,*Oc1ccc(OC(=O)c2cc(OCCCCCCCCCOCC3CCCN3c3ccc([N+](=O)[O-])cc3)c(C(*)=O)cc2OCCCCCCCCCOCC2CCCN2c2ccc([N+](=O)[O-])cc2)cc1,0.35547017,118,2,30,12,4,4,train,965.1539999999994,376,182.28
950661,*OC(=O)CCCCCCCCC(=O)OC1COC2C(*)COC12,0.33909279,36,2,16,6,0,2,train,312.362,124,71.06000000000002
1012066,*Nc1ccc([C@H]2[C@@H]3C[C@H]4C[C@@H](C3)C[C@@H]2C4)cc1N*,0.3476159,55,2,10,0,2,0,train,240.34999999999997,94,24.06
1022104,*C(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(C7(c8ccc(Oc9ccc(N%10C(=O)c%11ccc(*)cc%11C%10=O)cc9)cc8)CC8CC7C7CCCC87)cc6)cc4)C5=O)cc3)c(C(C)(C)C)c2)cc1,0.37754464,168,2,20,10,4,6,train,1163.2959999999991,434,169.87999999999997
1722264,*CC(*)(C)C(=O)OCCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,0.35917558,55,2,14,5,0,2,train,474.5970000000001,184,61.83
2265305,*Nc1ccc(-c2ccc(-c3ccc(N*)cc3)cc2)cc1,0.341878125,36,2,0,0,2,0,train,258.324,96,24.06
2986007,*c1ccc(-c2ccc3c(c2)C(CCCCCCC#N)(CCCCCCC#N)c2cc(*)ccc2-3)cc1,0.40239665,59,2,15,0,2,0,train,458.6490000000003,176,47.58
3053950,*c1cccc(N2C(=O)c3ccc(Oc4ccc5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5c4)cc3C2=O)c1,0.36481552,74,2,4,6,2,4,train,524.4880000000004,190,93.22
3128201,*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)c3ccc(Cc4ccc(C(=O)c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,0.36956078,102,2,8,7,2,7,train,692.6830000000003,252,125.97
3139746,*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,0.3314918,29,2,6,5,0,2,train,236.22299999999998,90,61.83
3254580,*Nc1ccc(CCc2ccc(N*)c(C)c2)c(C)c1,0.34991627,32,2,4,0,2,0,train,238.334,92,24.06
4600132,*Nc1ccc(-c2ccc(N*)cc2)cc1,0.33687015,25,2,0,0,2,0,train,182.226,68,24.06
4658296,*Nc1ccc(C(c2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)(P2(=O)Oc3ccccc3-c3ccccc32)P2(=O)Oc3ccccc3-c3ccccc32)cc1,0.36326495,99,2,3,6,2,4,train,756.6910000000001,266,110.8
