id,SMILES,FFV,smiles_len,count_star,count_C,count_O,count_N,count_equal,split
87817,*CC(*)c1ccccc1C(=O)OCCCCCC,0.37464529,26,2,9,2,0,1,train
106919,*Nc1ccc([C@H](CCC)c2ccc(C3(c4ccc([C@@H](CCC)c5ccc(N*)cc5)cc4)CCC(CCCCC)CC3)cc2)cc1,0.3704102,82,2,19,0,2,0,train
388772,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(S(=O)(=O)c7ccc(Oc8ccc(C=C9CCCC(=Cc%10ccc(*)cc%10)C9=O)cc8)cc7)cc6)cc5)CCCCC4)cc3)cc2)cc1,0.37885964,134,2,14,9,0,7,train
519416,*Nc1ccc(-c2c(-c3ccc(C)cc3)c(-c3ccc(C)cc3)c(N*)c(-c3ccc(C)cc3)c2-c2ccc(C)cc2)cc1,0.3873239,79,2,4,0,2,0,train
539187,*Oc1ccc(OC(=O)c2cc(OCCCCCCCCCOCC3CCCN3c3ccc([N+](=O)[O-])cc3)c(C(*)=O)cc2OCCCCCCCCCOCC2CCCN2c2ccc([N+](=O)[O-])cc2)cc1,0.35547017,118,2,30,12,4,4,train
950661,*OC(=O)CCCCCCCCC(=O)OC1COC2C(*)COC12,0.33909279,36,2,16,6,0,2,train
1012066,*Nc1ccc([C@H]2[C@@H]3C[C@H]4C[C@@H](C3)C[C@@H]2C4)cc1N*,0.3476159,55,2,10,0,2,0,train
1022104,*C(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(C7(c8ccc(Oc9ccc(N%10C(=O)c%11ccc(*)cc%11C%10=O)cc9)cc8)CC8CC7C7CCCC87)cc6)cc4)C5=O)cc3)c(C(C)(C)C)c2)cc1,0.37754464,168,2,20,10,4,6,train
1722264,*CC(*)(C)C(=O)OCCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,0.35917558,55,2,14,5,0,2,train
2265305,*Nc1ccc(-c2ccc(-c3ccc(N*)cc3)cc2)cc1,0.341878125,36,2,0,0,2,0,train
2986007,*c1ccc(-c2ccc3c(c2)C(CCCCCCC#N)(CCCCCCC#N)c2cc(*)ccc2-3)cc1,0.40239665,59,2,15,0,2,0,train
3053950,*c1cccc(N2C(=O)c3ccc(Oc4ccc5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5c4)cc3C2=O)c1,0.36481552,74,2,4,6,2,4,train
3128201,*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)c3ccc(Cc4ccc(C(=O)c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,0.36956078,102,2,8,7,2,7,train
3139746,*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,0.3314918,29,2,6,5,0,2,train
3254580,*Nc1ccc(CCc2ccc(N*)c(C)c2)c(C)c1,0.34991627,32,2,4,0,2,0,train
4600132,*Nc1ccc(-c2ccc(N*)cc2)cc1,0.33687015,25,2,0,0,2,0,train
4658296,*Nc1ccc(C(c2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)(P2(=O)Oc3ccccc3-c3ccccc32)P2(=O)Oc3ccccc3-c3ccccc32)cc1,0.36326495,99,2,3,6,2,4,train
4834929,*Nc1ccc2c(c1)[C@H]1CC[C@@H]2c2cc(N*)ccc21,0.36594162,41,2,4,0,2,0,train
5118841,*C(=O)c1ccc(N(*)CCCCCCCC)cc1,0.40101187,28,2,9,1,1,1,train
5350166,*CC(C)(COC(=O)NCCCCCCNC(=O)O*)C(=O)O,0.31898697,36,2,13,6,2,3,train
5650517,*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCC(*)=O)cc2)C(=O)OCC)cc1,0.33573247,57,2,13,7,1,4,train
5661484,*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(-c5nc(-c6ccccn6)nnc5*)cc4)cc3)cc2)cc1,0.38715626,73,2,0,4,0,2,train
5709902,*Nc1ccc(NC(=O)CCCCCCC(*)=O)cc1,0.33579028,30,2,8,2,2,2,train
5724071,*NC(=O)Nc1ccc(Cc2ccc(NC(=O)Nc3cccc(*)n3)cc2)cc1,0.33930299,47,2,3,2,4,2,train
5857263,*c1ccc(Oc2ccc(Oc3ccc(Oc4ccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)cc2)cc1,0.36614256,90,2,4,7,2,4,train
5905810,*Cc1c(C)c(C)c(CNC(=O)CCCCCC(C)CC(=O)N*)c(C)c1C,0.34722767,46,2,16,2,2,2,train
5966923,*c1cc(CCOC(=O)NCCCC)c(*)s1,0.36941899,26,2,7,2,1,1,train
6019988,*CCC(C)C(C)CCNC(=O)c1cccc(C(=O)N*)c1,0.3407009,36,2,10,2,2,2,train
6102563,*C(=O)OCCOCCOC(=O)c1ccc(N2C(=O)c3ccc(*)cc3C2=O)cc1,0.32926001,50,2,8,7,1,4,valid
6259923,*NC1=C(c2ccc(O)cc2OC)[C@@H](N*)c2c(N)ccc(N)c21,0.32877014,46,2,4,2,4,1,train
6645418,*CCCCCNC(=O)CCCCC(=O)N*,0.3327408,23,2,11,2,2,2,train
6665789,*Nc1cccc(C=Cc2ccc(NC(=O)c3cccc(C(*)=O)c3)cc2)c1,0.35017075,47,2,4,2,2,3,valid
7586800,*C(=O)Nc1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(NC(=O)c5ccc6c(c5)C(=O)N(c5ccc(-c7sc(-c8ccc(N9C(=O)c%10ccc(*)cc%10C9=O)cc8)c(-c8ccccc8)c7-c7ccccc7)cc5)C6=O)cc4)cc3)cc2)cc1,0.38518992,162,2,9,8,4,6,valid
8689461,*CC(*)CCCCCCCCCCCCCCCC,0.40787312,22,2,18,0,0,0,train
9284896,*O[Si](C)(C)CCCNC(=O)C(=O)NCCC[Si](*)(C)C,0.38708542,41,2,12,3,2,2,train
10061985,*CCCCCCCCCCN1C(=O)c2ccc(-c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3)cc2C1=O,0.3487648,68,2,14,4,2,4,valid
10557152,*C(C)=C(*)[Ge](C)(C)C,0.39996108,21,2,6,0,0,1,train
11301237,*c1ccc(Oc2ccc(-c3nc4ccc(Oc5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(c8ccc(Oc%10ccc%11nc(*)c(-c%12ccccc%12)nc%11c%10)cc8)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4nc3-c3ccccc3)cc2)cc1,0.40256926,175,2,7,7,2,4,train
11664621,*OC(COC(*)=O)COC(C)C,0.35338284,20,2,7,4,0,1,train
11667291,*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(C(=O)c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc3)cc1)C2=O,0.38083463,87,2,7,6,2,6,valid
11796436,*Nc1cc2c(c(-c3ccccc3)c1N*)[C@@H](c1ccccc1)c1ccccc1-2,0.37078536,52,2,1,0,2,0,train
11894206,*CC(*)C(=O)Oc1ccccc1C,0.35783052,21,2,4,2,0,1,train
11955349,*C(=Nc1ccccc1)c1ccc(-c2ccc(*)cc2)cc1,0.39901234,36,2,1,0,1,1,valid
12265790,*CC(*)C(=O)OC(C)C,0.36594213,17,2,6,2,0,1,valid
12381586,*CC(*)C(=O)OCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,0.35839221,43,2,10,3,1,1,train
12395811,*C(=Cc1cc(OC)c(C=C(c2ccc(*)cc2)c2ccc(OC)cc2)cc1OC)c1ccc(OC)cc1,0.37715059,62,2,8,4,0,2,train
12627006,*c1ccc(OCCN(CC)c2ccc(C(C#N)=C(C#N)C#N)cc2)c(-c2cc(-c3ccccc3)c3cc(Oc4ccc5nc(*)cc(-c6ccccc6)c5c4)ccc3n2)c1,0.39541698,104,2,9,2,4,1,train
12724819,*C=Cc1ccc2c(c1)Sc1cc(-c3ccc4c(c3)Sc3cc(*)ccc3N4c3ccc(OCCCCCCCCCCCC)cc3)ccc1N2c1ccc(OCCCCCCCCCCCC)cc1,0.400601,100,2,26,2,2,1,train
